number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,state
136,0.7607835396363671,2025-10-14 01:45:05.903544,2025-10-14 01:45:20.033873,0 days 00:00:14.130329,0.9401099380343837,4,gbdt,0.8624086666845033,0.3223069780684883,1.0130177273244678,0.02138015140767332,7,36,0.01840963505677,56,COMPLETE
137,0.7602857062799939,2025-10-14 01:45:20.036747,2025-10-14 01:45:38.845912,0 days 00:00:18.809165,0.8802125918215407,7,gbdt,0.9581828917983195,0.1384237245612432,1.2741316105394591,0.015987129384615648,9,48,0.004419104622566235,48,COMPLETE
138,0.7606355575539112,2025-10-14 01:45:38.848386,2025-10-14 01:45:55.989597,0 days 00:00:17.141211,0.9132181316004929,6,gbdt,0.6402614416143093,0.8070306106865699,0.7599304440037379,0.017843290704297844,9,26,0.01698101041302821,24,COMPLETE
139,0.7602351075564231,2025-10-14 01:45:55.994066,2025-10-14 01:46:19.345160,0 days 00:00:23.351094,0.7269731876504527,4,gbdt,0.9113736487255053,0.39856226058367333,0.9157583123870433,0.009545501134858046,8,50,0.034484346422017066,56,COMPLETE
140,0.761275281085374,2025-10-14 01:46:19.349539,2025-10-14 01:46:33.237503,0 days 00:00:13.887964,0.7885985927213035,6,gbdt,0.6811889667369297,0.422851389415277,1.386841968675953,0.024511706892904828,10,42,0.048108243426710974,40,COMPLETE
141,0.7604381916669793,2025-10-14 01:46:33.240270,2025-10-14 01:46:57.849946,0 days 00:00:24.609676,0.8336900978384127,6,gbdt,0.7534877908532494,0.3543250740219556,1.063271606738135,0.013823744042116802,8,43,0.045823991356489555,56,COMPLETE
142,0.7609068248305135,2025-10-14 01:46:57.854300,2025-10-14 01:47:25.151106,0 days 00:00:27.296806,0.7302462437562197,6,gbdt,0.7011464576297021,0.38719153120298844,1.1314916569104134,0.011980349251295673,8,45,0.028475891211824474,48,COMPLETE
143,0.761465195390774,2025-10-14 01:47:25.153627,2025-10-14 01:47:47.007087,0 days 00:00:21.853460,0.8935645380027504,6,gbdt,0.6673853452091846,0.27618677947535625,1.0287444779671981,0.013862119796728134,8,39,0.02309397769367383,56,COMPLETE
144,0.7613338644603451,2025-10-14 01:47:47.011655,2025-10-14 01:48:08.103606,0 days 00:00:21.091951,0.6984720521455684,7,gbdt,0.7153715870944047,0.3516205132049729,0.5468725894793613,0.01115493900879821,7,35,0.04720041614995133,64,COMPLETE
145,0.7605417874838928,2025-10-14 01:48:08.105888,2025-10-14 01:48:28.924453,0 days 00:00:20.818565,0.7393646212169379,5,gbdt,0.6921069877315922,0.31458983586232125,0.9788129173018725,0.01517757380041556,9,61,0.044245831503712085,48,COMPLETE
